Timestamp,Container,CPU_Percent,Memory_MB
2026-04-07T01:13:57,waf-dissertation-waf-1,3.29,49.79
2026-04-07T01:13:57,waf-dissertation-juiceshop-1,3.02,155.9
2026-04-07T01:14:02,waf-dissertation-waf-1,3.66,49.75
2026-04-07T01:14:02,waf-dissertation-juiceshop-1,3.43,164.7
2026-04-07T01:14:07,waf-dissertation-waf-1,3.16,49.98
2026-04-07T01:14:07,waf-dissertation-juiceshop-1,9.95,166.4
2026-04-07T01:14:12,waf-dissertation-waf-1,15.76,50.04
2026-04-07T01:14:12,waf-dissertation-juiceshop-1,3.62,166.1
2026-04-07T01:14:16,waf-dissertation-waf-1,5.68,50.24
2026-04-07T01:14:16,waf-dissertation-juiceshop-1,6.04,166.1
2026-04-07T01:14:21,waf-dissertation-waf-1,5.61,49.78
2026-04-07T01:14:21,waf-dissertation-juiceshop-1,6.20,166.1
2026-04-07T01:14:25,waf-dissertation-waf-1,3.39,49.79
2026-04-07T01:14:25,waf-dissertation-juiceshop-1,41.87,166.8
2026-04-07T01:14:29,waf-dissertation-waf-1,4.11,49.54
2026-04-07T01:14:29,waf-dissertation-juiceshop-1,64.28,157.2
2026-04-07T01:14:35,waf-dissertation-waf-1,5.98,49.48
2026-04-07T01:14:35,waf-dissertation-juiceshop-1,52.84,159.3
2026-04-07T01:14:39,waf-dissertation-waf-1,4.47,50.03
2026-04-07T01:14:39,waf-dissertation-juiceshop-1,45.00,160.0
2026-04-07T01:14:44,waf-dissertation-waf-1,4.26,50.0
2026-04-07T01:14:44,waf-dissertation-juiceshop-1,43.83,167.7
2026-04-07T01:14:48,waf-dissertation-waf-1,3.55,50.04
2026-04-07T01:14:48,waf-dissertation-juiceshop-1,34.60,167.5
2026-04-07T01:14:54,waf-dissertation-waf-1,3.89,49.8
2026-04-07T01:14:54,waf-dissertation-juiceshop-1,41.89,168.6
2026-04-07T01:14:59,waf-dissertation-waf-1,7.27,49.55
2026-04-07T01:14:59,waf-dissertation-juiceshop-1,17.38,168.8
2026-04-07T01:15:04,waf-dissertation-waf-1,4.09,49.83
2026-04-07T01:15:04,waf-dissertation-juiceshop-1,43.20,171.9
2026-04-07T01:15:09,waf-dissertation-waf-1,3.03,50.07
2026-04-07T01:15:09,waf-dissertation-juiceshop-1,41.21,173.1
2026-04-07T01:15:14,waf-dissertation-waf-1,4.68,50.08
2026-04-07T01:15:14,waf-dissertation-juiceshop-1,41.28,174.6
2026-04-07T01:15:20,waf-dissertation-waf-1,3.28,50.08
2026-04-07T01:15:20,waf-dissertation-juiceshop-1,74.98,175.3
2026-04-07T01:15:24,waf-dissertation-waf-1,7.28,50.11
2026-04-07T01:15:24,waf-dissertation-juiceshop-1,56.65,210.4
2026-04-07T01:15:29,waf-dissertation-waf-1,6.12,50.25
2026-04-07T01:15:29,waf-dissertation-juiceshop-1,64.24,211.6
2026-04-07T01:15:34,waf-dissertation-waf-1,4.18,50.75
2026-04-07T01:15:34,waf-dissertation-juiceshop-1,51.66,211.7
